fault,target_tag,name_cn,weight_sigma,evidence_role
F1_SPE通流侵蚀,SYG1_10MAA50CP101,超高压缸叶片级压力#1,1.0,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10MAA50CP102,超高压缸叶片级压力#2,0.8500000238418579,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10MAA50CP103,超高压缸叶片级压力#3,0.699999988079071,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,0.2000000029802322,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,0.2000000029802322,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,0.2000000029802322,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,0.3000000119209289,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,0.3000000119209289,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,0.2000000029802322,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,0.2000000029802322,B semi-physical point response
F1_SPE通流侵蚀,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,0.2000000029802322,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CP101,一级抽汽口压力,-0.25,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT101A,一级抽汽口温度,-0.0799999982118606,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,-0.1000000014901161,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,-0.1000000014901161,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,-0.3499999940395355,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,-0.3499999940395355,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CP102,1号高加入口抽汽压力,-1.100000023841858,B semi-physical point response
F2_一级抽汽逆止门后管路泄漏,SYG1_10LBQ10CT106,1号高加入口抽汽温度,-0.449999988079071,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CP101,超高压缸叶片级压力#1,-0.25,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CP102,超高压缸叶片级压力#2,-0.2199999988079071,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CP103,超高压缸叶片级压力#3,-0.1800000071525573,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,0.7200000286102295,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,0.6800000071525574,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,0.6499999761581421,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,0.550000011920929,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,0.550000011920929,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBQ10CP101,一级抽汽口压力,-0.2199999988079071,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBQ10CP102,1号高加入口抽汽压力,-0.1800000071525573,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,0.449999988079071,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,0.4199999868869781,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,0.4199999868869781,B semi-physical point response
F3_VHP汽封泄漏,SYG1_10MAA50CT131A,超高压缸蒸汽温度100%,0.25,B semi-physical point response
